PARCEL_LID,CAL_ACREAGE,standard_pixels,total_pixels,exact_acres,whole_pixels,center_pixels,weight_center,standard_acres,standard_error,standard_error_pct,exact_error,exact_error_pct
020049S6NJVT0GE0AP8EER,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02007PXWSGF9KS2B9IT83G,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0200AC1QV0NT7XAMI40PJU,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0200QJ8YOHSDEGBZG882L4,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0201IWQDC3Z215OLNH3JUA,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
020219XPXMBQPQ4JRHT5JA,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0203MZC3QT66EEM9RKGNAK,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0203UVXVH1MPSB4BH3MEV6,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0204PLTTCIJEM42FYZD3L4,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0204ZEZ8HUT11HBADTSTCZ,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02055ZSX0MTPQSA0T2EEOX,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0205NTFZ99TWO8R6J54TQV,0.0,0,0.0,0.0,0,0,0.8,0.0,0.0,,0.0,
0200JC8VZBS8N7G5QX20Z5,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0201SBZ7GNK5KXMMZH1E3H,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0205ZXQSJXG6YXJL9W8JJW,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02005B8AGWAIU65XS4RKCL,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0201XRL4ZRUS0VN0MAT1M3,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02029P54TT0L4JHT9IXXME,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0205K2N5DCCAJYMKLIRCUR,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0206FT63YIM0PQXFY5A4BA,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
0206WK0B4RTMPX8EPER9HO,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
020541WGZFHNMNRIC4AM8V,0.0,2,0.3999999999999999,0.08895785868549935,2,0,0.8,0.44478929342749685,0.44478929342749685,inf,0.08895785868549935,inf
0200109JFE6OWUPJCAWQBX,0.0,0,0.0,0.0,0,0,0.8,0.0,0.0,,0.0,
02001E4OZT0FOKEVAZC9OL,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02002I85B4OMOMJPEP9I3B,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02003HWXRA0OZ8XNMWX2VL,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02004163FOL9UC1MR4NGX8,0.0,0,0.0,0.0,0,0,0.8,0.0,0.0,,0.0,
02004N4OAJUE9M6S2X3TD9,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02005XT9P7LSKYCKBW69ZG,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
02006QF19XO390E1P7WZLR,0.0,1,0.19999999999999996,0.044478929342749676,1,0,0.8,0.22239464671374842,0.22239464671374842,inf,0.044478929342749676,inf
